date,event,result,location,image_url
1,15.08.2025,,"The Street Profits(Angelo Dawkins&Montez Ford) defeat#DIY(Johnny Gargano&Tommaso Ciampa) (9:25)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
2,03.08.2025,,"WWE Tag Team  TitleSix Pack Tables, Ladders And Chairs:The Wyatt Sicks(Dexter Lumis&Joe Gacy) (c) defeat#DIY(Johnny Gargano&Tommaso Ciampa) andAndrade&Rey FenixandFraxiom(Axiom&Nathan Frazer) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) andThe Street Profits(Angelo Dawkins&Montez Ford) (16:03)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
3,25.07.2025,,"Johnny GarganodefeatsNathan Frazer(6:31)WWE Main Event #670- Online Stream @ Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
4,18.07.2025,,"WWE Tag Team  Title#1 Contendership Four Way:Andrade&Rey Fenixdefeat#DIY(Johnny Gargano&Tommaso Ciampa) andFraxiom(Axiom&Nathan Frazer) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (15:37)WWE Friday Night SmackDown #1352- TV-Show @ Frost Bank Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
5,30.06.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatBerto,Chris Sabin,Johnny Gargano&Montez Ford(10:37)WWE Friday Night SmackDown #1350- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
6,27.06.2025,,"Andrade&Rey Fenixdefeat#DIY(Johnny Gargano&Tommaso Ciampa) (14:55)WWE Friday Night SmackDown #1349- TV-Show @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
7,16.05.2025,,"Fraxiom(Axiom&Nathan Frazer) defeat#DIY(Johnny Gargano&Tommaso Ciampa) (11:18)WWE Friday Night SmackDown #1343- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
8,25.04.2025,,"WWE Tag Team  TitleTables, Ladders & Chairs Triple Threat:The Street Profits(Angelo Dawkins&Montez Ford) (c) defeat#DIY(Johnny Gargano&Tommaso Ciampa) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (22:52)WWE Friday Night SmackDown #1340- TV-Show @ Dickies Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
9,04.04.2025,,"WWE Tag Team  Title#1 Contendership:The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa) (9:03)WWE Friday Night SmackDown #1337- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
10,30.03.2025,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa)WWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
11,29.03.2025,,"Randy Orton&The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa) &The MizWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
12,28.03.2025,,"Dark:The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa)WWE Friday Night SmackDown #1336- Dark Match @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
13,21.03.2025,,"Dark:The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa) (7:00)WWE Friday Night SmackDown #1335- Dark Match @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
14,16.03.2025,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa)WWE Road To WrestleMania- House Show @ ZAG Arena in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
15,15.03.2025,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeat#DIY(Johnny Gargano&Tommaso Ciampa)WWE Road To WrestleMania- House Show @ Westfalenhalle in Dortmund, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
16,14.03.2025,,"WWE Tag Team  Title:The Street Profits(Angelo Dawkins&Montez Ford) defeat#DIY(Johnny Gargano&Tommaso Ciampa) (c) (11:51) -TITLE CHANGE !!!WWE Friday Night SmackDown #1334- TV-Show @ Pavelló Olímpic de Badalona in Badalona, Spanien",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
17,21.02.2025,,"WWE Tag Team  Title:#DIY(Johnny Gargano&Tommaso Ciampa) (c) vs.Pretty Deadly(Elton Prince&Kit Wilson) - No Contest (6:15)WWE Friday Night SmackDown #1331- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/DIY_RR25.jpg
